Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,HSS,HSS7X5X1/8,–,–,–,–,–,–,2.7,–,–,–,–,–,–,–,–,9.86,–,–,–,–,–,19.3,6.53,5.52,2.68,–,–,11.6,5.2,4.63,2.07,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.65,–,57.3,40.1,–,7,6.65,0.125,0.116,–,7.79,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X4X1/2,–,–,–,–,–,–,8.81,–,–,–,–,–,–,–,–,31.84,–,–,–,–,–,50.7,18.8,14.5,2.4,–,–,20.7,12.6,10.4,1.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,50.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.6,–,12,5.59,–,7,5.6,0.5,0.465,–,21.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X4X3/8,–,–,–,–,–,–,6.88,–,–,–,–,–,–,–,–,24.93,–,–,–,–,–,41.8,15.1,11.9,2.46,–,–,17.3,10.2,8.63,1.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.95,–,17,8.45,–,7,5.95,0.375,0.349,–,16.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X4X5/16,–,–,–,–,–,–,5.85,–,–,–,–,–,–,–,–,21.21,–,–,–,–,–,36.5,13.1,10.4,2.5,–,–,15.2,8.83,7.58,1.61,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.13,–,21.1,10.8,–,7,6.13,0.3125,0.291,–,14.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X4X1/4,–,–,–,–,–,–,4.77,–,–,–,–,–,–,–,–,17.32,–,–,–,–,–,30.5,10.8,8.72,2.53,–,–,12.8,7.33,6.38,1.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,29.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.3,–,27,14.2,–,7,6.3,0.25,0.233,–,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X4X3/16,–,–,–,–,–,–,3.63,–,–,–,–,–,–,–,–,13.25,–,–,–,–,–,23.8,8.33,6.81,2.56,–,–,10,5.67,5.02,1.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.48,–,37.2,20,–,7,6.48,0.1875,0.174,–,9.07,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X4X1/8,–,–,–,–,–,–,2.46,–,–,–,–,–,–,–,–,9.01,–,–,–,–,–,16.6,5.73,4.73,2.59,–,–,7.03,3.91,3.51,1.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.65,–,57.3,31.5,–,7,6.65,0.125,0.116,–,6.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X3X1/2,–,–,–,–,–,–,7.88,–,–,–,–,–,–,–,–,28.43,–,–,–,–,–,40.7,15.8,11.6,2.27,–,–,10.2,8.46,6.8,1.14,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,1.6,–,12,3.44,–,7,5.6,0.5,0.465,–,15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X3X3/8,–,–,–,–,–,–,6.18,–,–,–,–,–,–,–,–,22.37,–,–,–,–,–,34.1,12.8,9.73,2.35,–,–,8.71,6.95,5.81,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,1.95,–,17,5.59,–,7,5.95,0.375,0.349,–,12.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X3X5/16,–,–,–,–,–,–,5.26,–,–,–,–,–,–,–,–,19.08,–,–,–,–,–,29.9,11.1,8.54,2.38,–,–,7.74,6.05,5.16,1.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.13,–,21.1,7.32,–,7,6.13,0.3125,0.291,–,10.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X3X1/4,–,–,–,–,–,–,4.3,–,–,–,–,–,–,–,–,15.62,–,–,–,–,–,25.2,9.22,7.19,2.42,–,–,6.6,5.06,4.4,1.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.3,–,27,9.87,–,7,6.3,0.25,0.233,–,8.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X3X3/16,–,–,–,–,–,–,3.28,–,–,–,–,–,–,–,–,11.97,–,–,–,–,–,19.8,7.14,5.65,2.45,–,–,5.24,3.94,3.5,1.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.48,–,37.2,14.3,–,7,6.48,0.1875,0.174,–,6.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X3X1/8,–,–,–,–,–,–,2.23,–,–,–,–,–,–,–,–,8.16,–,–,–,–,–,13.8,4.93,3.95,2.49,–,–,3.71,2.73,2.48,1.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.65,–,57.3,22.8,–,7,6.65,0.125,0.116,–,4.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X2X1/4,–,–,–,–,–,–,3.84,–,–,–,–,–,–,–,–,13.91,–,–,–,–,–,19.8,7.64,5.67,2.27,–,–,2.58,3.02,2.58,0.819,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.3,–,27,5.58,–,7,6.3,0.25,0.233,–,5.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X2X3/16,–,–,–,–,–,–,2.93,–,–,–,–,–,–,–,–,10.7,–,–,–,–,–,15.7,5.95,4.49,2.31,–,–,2.1,2.39,2.1,0.845,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.48,–,37.2,8.51,–,7,6.48,0.1875,0.174,–,4.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X2X1/8,–,–,–,–,–,–,2,–,–,–,–,–,–,–,–,7.31,–,–,–,–,–,11.1,4.13,3.16,2.35,–,–,1.52,1.68,1.52,0.871,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.65,–,57.3,14.2,–,7,6.65,0.125,0.116,–,3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X5/8,–,–,–,–,–,–,11.7,–,–,–,–,–,–,–,–,42.3,–,–,–,–,–,55.2,23.2,18.4,2.17,–,–,55.2,23.2,18.4,2.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,94.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,4.26,–,7.33,7.33,–,6,4.26,0.625,0.581,–,33.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X1/2,–,–,–,–,–,–,9.74,–,–,–,–,–,–,–,–,35.24,–,–,–,–,–,48.3,19.8,16.1,2.23,–,–,48.3,19.8,16.1,2.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,4.61,–,9.91,9.91,–,6,4.61,0.5,0.465,–,28.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X3/8,–,–,–,–,–,–,7.58,–,–,–,–,–,–,–,–,27.48,–,–,–,–,–,39.5,15.8,13.2,2.28,–,–,39.5,15.8,13.2,2.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,64.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,4.95,–,14.2,14.2,–,6,4.95,0.375,0.349,–,22.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X5/16,–,–,–,–,–,–,6.43,–,–,–,–,–,–,–,–,23.34,–,–,–,–,–,34.3,13.6,11.4,2.31,–,–,34.3,13.6,11.4,2.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,55.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.13,–,17.6,17.6,–,6,5.13,0.3125,0.291,–,18.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X1/4,–,–,–,–,–,–,5.24,–,–,–,–,–,–,–,–,19.02,–,–,–,–,–,28.6,11.2,9.54,2.34,–,–,28.6,11.2,9.54,2.34,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,45.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.3,–,22.7,22.7,–,6,5.3,0.25,0.233,–,15.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X3/16,–,–,–,–,–,–,3.98,–,–,–,–,–,–,–,–,14.53,–,–,–,–,–,22.3,8.63,7.42,2.37,–,–,22.3,8.63,7.42,2.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.48,–,31.5,31.5,–,6,5.48,0.1875,0.174,–,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X6X1/8,–,–,–,–,–,–,2.7,–,–,–,–,–,–,–,–,9.86,–,–,–,–,–,15.5,5.92,5.15,2.39,–,–,15.5,5.92,5.15,2.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.65,–,48.7,48.7,–,6,5.65,0.125,0.116,–,8.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X5X1/2,–,–,–,–,–,–,8.81,–,–,–,–,–,–,–,–,31.84,–,–,–,–,–,41.1,17.2,13.7,2.16,–,–,30.8,15.2,12.3,1.87,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,59.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,3.6,–,9.91,7.74,–,6,4.61,0.5,0.465,–,23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X5X3/8,–,–,–,–,–,–,6.88,–,–,–,–,–,–,–,–,24.93,–,–,–,–,–,33.9,13.8,11.3,2.22,–,–,25.5,12.2,10.2,1.92,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,48.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,3.95,–,14.2,11.3,–,6,4.95,0.375,0.349,–,18.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X5X5/16,–,–,–,–,–,–,5.85,–,–,–,–,–,–,–,–,21.21,–,–,–,–,–,29.6,11.9,9.85,2.25,–,–,22.3,10.5,8.91,1.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.13,–,17.6,14.2,–,6,5.13,0.3125,0.291,–,15.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X5X1/4,–,–,–,–,–,–,4.77,–,–,–,–,–,–,–,–,17.32,–,–,–,–,–,24.7,9.87,8.25,2.28,–,–,18.7,8.72,7.47,1.98,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.3,–,22.7,18.5,–,6,5.3,0.25,0.233,–,12.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X5X3/16,–,–,–,–,–,–,3.63,–,–,–,–,–,–,–,–,13.25,–,–,–,–,–,19.3,7.62,6.44,2.31,–,–,14.6,6.73,5.84,2.01,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,26.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.48,–,31.5,25.7,–,6,5.48,0.1875,0.174,–,9.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X5X1/8,–,–,–,–,–,–,2.46,–,–,–,–,–,–,–,–,9.01,–,–,–,–,–,13.4,5.24,4.48,2.34,–,–,10.2,4.63,4.07,2.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.65,–,48.7,40.1,–,6,5.65,0.125,0.116,–,6.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X4X1/2,–,–,–,–,–,–,7.88,–,–,–,–,–,–,–,–,28.43,–,–,–,–,–,34,14.6,11.3,2.08,–,–,17.8,11,8.89,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.6,–,9.91,5.59,–,6,4.61,0.5,0.465,–,17.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X4X3/8,–,–,–,–,–,–,6.18,–,–,–,–,–,–,–,–,22.37,–,–,–,–,–,28.3,11.9,9.43,2.14,–,–,14.9,8.94,7.47,1.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.95,–,14.2,8.45,–,6,4.95,0.375,0.349,–,14.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X4X5/16,–,–,–,–,–,–,5.26,–,–,–,–,–,–,–,–,19.08,–,–,–,–,–,24.8,10.3,8.27,2.17,–,–,13.2,7.75,6.58,1.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.13,–,17.6,10.8,–,6,5.13,0.3125,0.291,–,12.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X4X1/4,–,–,–,–,–,–,4.3,–,–,–,–,–,–,–,–,15.62,–,–,–,–,–,20.9,8.53,6.96,2.2,–,–,11.1,6.45,5.56,1.61,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.3,–,22.7,14.2,–,6,5.3,0.25,0.233,–,10.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X4X3/16,–,–,–,–,–,–,3.28,–,–,–,–,–,–,–,–,11.97,–,–,–,–,–,16.4,6.6,5.46,2.23,–,–,8.76,5,4.38,1.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.48,–,31.5,20,–,6,5.48,0.1875,0.174,–,7.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X4X1/8,–,–,–,–,–,–,2.23,–,–,–,–,–,–,–,–,8.16,–,–,–,–,–,11.4,4.56,3.81,2.26,–,–,6.15,3.46,3.08,1.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.65,–,48.7,31.5,–,6,5.65,0.125,0.116,–,5.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X3X1/2,–,–,–,–,–,–,6.95,–,–,–,–,–,–,–,–,25.03,–,–,–,–,–,26.8,12.1,8.95,1.97,–,–,8.69,7.28,5.79,1.12,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,1.6,–,9.91,3.44,–,6,4.61,0.5,0.465,–,12.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X3X3/8,–,–,–,–,–,–,5.48,–,–,–,–,–,–,–,–,19.82,–,–,–,–,–,22.7,9.9,7.57,2.04,–,–,7.48,6.03,4.99,1.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,1.95,–,14.2,5.59,–,6,4.95,0.375,0.349,–,10.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS6X3X5/16,–,–,–,–,–,–,4.68,–,–,–,–,–,–,–,–,16.96,–,–,–,–,–,20.1,8.61,6.69,2.07,–,–,6.67,5.27,4.45,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.13,–,17.6,7.32,–,6,5.13,0.3125,0.291,–,8.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
